Reg1,Reg2,Cat,Slope,p-value,CI,Significant
Power,SBP_Distribution_STD,,0.013871812396747157,0.009298563836143576,[0.0035322  0.02421143],True
Power,SBP_Distribution_STD,Calibration_Technique,[-0.10655119  0.01643807],[0.30048743 0.00552595],"[[-0.31037103  0.09726864]
 [ 0.00499588  0.02788026]]",False
Power,SBP_Distribution_STD,Algorithm,"[ 0.14723672 -0.11675926  0.04989791 -0.55455173  0.05116891 -0.04044375
  0.03459667  0.036324    0.01532914]","[0.60101556 0.67800378 0.53076876 0.0585277  0.85561564 0.80948208
 0.77716626 0.90050677 0.01128438]","[[-0.41297274  0.70744619]
 [-0.67653858  0.44302005]
 [-0.10840883  0.20820465]
 [-1.1297481   0.02064464]
 [-0.50892349  0.6112613 ]
 [-0.37451863  0.29363114]
 [-0.20882872  0.27802206]
 [-0.5423936   0.6150416 ]
 [ 0.00360087  0.0270574 ]]",False
Power,SBP_Distribution_STD,Dataset,"[-1.06758197 -1.10763485 -0.44532114 -0.48286779 -0.4558477  -0.53947452
 -0.49144609 -0.22146191 -0.62224453  0.02270316]","[9.53442414e-06 2.45670393e-04 2.44604799e-03 8.35231671e-02
 6.37727879e-03 5.34677901e-02 7.69220106e-02 4.23232903e-01
 1.44468254e-03 8.62396194e-05]","[[-1.50845882 -0.62670513]
 [-1.67535354 -0.53991616]
 [-0.7267775  -0.16386479]
 [-1.03173033  0.06599475]
 [-0.77831897 -0.13337643]
 [-1.08727094  0.00832191]
 [-1.03767081  0.05477863]
 [-0.77097456  0.32805074]
 [-0.99472484 -0.24976422]
 [ 0.01193085  0.03347548]]",False
Power,SBP_Distribution_STD,Testing_Subject_Characteristics,[-0.12753762  0.01459081 -0.05950681  0.00944348],[0.15697981 0.87560959 0.66839361 0.12291474],"[[-0.30542731  0.05035207]
 [-0.17082995  0.20001158]
 [-0.33568753  0.21667391]
 [-0.00262322  0.02151018]]",False
Power,SBP_Distribution_STD,Sensor_Data,"[ 0.19806266  0.26225607  0.39814887  0.3629592   0.05041663  0.22850031
  0.3930976   0.21292519  0.31007784  0.76063086  0.76063086 -0.14728464
  0.46016408  0.1797108   0.19375792  0.41778981  0.39298115  0.29357557
  0.29455311  0.46894075  0.02108469]","[0.52406118 0.51349528 0.22809783 0.21446649 0.88442923 0.43680239
 0.21019663 0.59666103 0.44463246 0.06382617 0.06382617 0.71319813
 0.2547094  0.58384488 0.63103189 0.3026875  0.2625274  0.46515846
 0.4744159  0.18192337 0.00213851]","[[-0.4224365   0.81856183]
 [-0.53875723  1.06326937]
 [-0.25755616  1.0538539 ]
 [-0.21713704  0.94305544]
 [-0.6432677   0.74410097]
 [-0.35739298  0.8143936 ]
 [-0.22923131  1.01542651]
 [-0.59066119  1.01651156]
 [-0.49881378  1.11896946]
 [-0.04547797  1.56673969]
 [-0.04547797  1.56673969]
 [-0.94820102  0.65363175]
 [-0.34243656  1.26276471]
 [-0.47546316  0.83488475]
 [-0.6122038   0.99971965]
 [-0.38846821  1.22404784]
 [-0.30394208  1.08990438]
 [-0.50814804  1.09529918]
 [-0.52687707  1.1159833 ]
 [-0.22716745  1.16504896]
 [ 0.00802302  0.03414636]]",False
Power,DBP_Distribution_STD,,0.020371104407346134,0.04535020597352593,[0.00043427 0.04030794],True
Power,DBP_Distribution_STD,Calibration_Technique,[-0.05860315  0.02297113],[0.57164546 0.04122642],"[[-0.26447091  0.14726461]
 [ 0.00094274  0.04499953]]",False
Power,DBP_Distribution_STD,Algorithm,"[ 0.11097294 -0.1172483   0.07121633 -0.46399558 -0.04978073  0.14420974
  0.05240098  0.00981948  0.02231418]","[0.69702569 0.68108694 0.37247531 0.11064063 0.86219084 0.48401586
 0.674912   0.97366596 0.0506867 ]","[[-4.56747699e-01  6.78693576e-01]
 [-6.85443933e-01  4.50947328e-01]
 [-8.73894905e-02  2.29822155e-01]
 [-1.03729408e+00  1.09302911e-01]
 [-6.21286564e-01  5.21725105e-01]
 [-2.65608529e-01  5.54028016e-01]
 [-1.96423671e-01  3.01225633e-01]
 [-5.83052961e-01  6.02691927e-01]
 [-6.89475149e-05  4.46973159e-02]]",False
Power,DBP_Distribution_STD,Dataset,"[-0.92436792 -0.86552434 -0.37044418 -0.35960568 -0.29116672 -0.33103261
 -0.32958277 -0.0716659  -0.47324973  0.02670672]","[1.48976529e-04 3.98360744e-03 1.48400826e-02 2.14448997e-01
 7.64579884e-02 2.49065363e-01 2.51427934e-01 8.02816052e-01
 1.57774587e-02 7.04538449e-03]","[[-1.37974021 -0.46899563]
 [-1.44299128 -0.28805739]
 [-0.66568226 -0.07520609]
 [-0.93319737  0.21398602]
 [-0.61430028  0.03196684]
 [-0.90026542  0.2382002 ]
 [-0.89918955  0.24002401]
 [-0.64370707  0.50037526]
 [-0.8540808  -0.09241866]
 [ 0.00757777  0.04583567]]",False
