Reg1,Reg2,Cat,Slope,p-value,CI,Significant
Power,SBP_Distribution_STD,,0.013613522081807872,0.009589641586088313,[0.00342283 0.02380422],True
Power,DBP_Distribution_STD,,0.019982863095662017,0.046059756877450724,[0.00035984 0.03960589],True
SBP_Distribution_STD,DBP_Distribution_STD,,1.4755683168508595,2.958798199636563e-15,[1.18769632 1.76344031],True
SBP_Distribution_STD,SBP_Error_STD,,0.45083790410288155,0.004302117293871094,[0.14631587 0.75535994],True
SBP_Distribution_STD,SBP_Error_STD,Calibration_Technique,[7.78793472 0.45507241],[7.73489745e-05 1.42050657e-03],"[[ 4.09707616 11.47879328]
 [ 0.18219841  0.72794642]]",True
SBP_Distribution_STD,SBP_ED,,1.8650351305557298,0.001744441815721586,[0.72328064 3.00678962],True
SBP_Distribution_STD,SBP_ED,Calibration_Technique,[6.29845395 1.32413262],[0.00263297 0.02222702],"[[ 2.27465847 10.32224943]
 [ 0.19504258  2.45322267]]",True
SBP_Distribution_STD,DBP_ED,,1.8377093396356408,0.008373933916841565,[0.4879383  3.18748037],True
DBP_Distribution_STD,SBP_ED,,0.8905753765955997,0.005509091936865703,[0.27104078 1.51010998],True
DBP_Distribution_STD,DBP_ED,,1.1645390960179192,0.0014446912211837583,[0.46535669 1.8637215 ],True
DBP_Distribution_STD,DBP_ED,Calibration_Technique,[3.17356024 0.87713472],[0.00405538 0.01333952],"[[1.0464316  5.30068888]
 [0.18859571 1.56567372]]",True
SBP_Error_STD,DBP_Error_STD,,0.883382065450746,8.205428709713657e-10,[0.63672734 1.13003679],True
SBP_Error_STD,SBP_ED,,-2.206467667720231,1.3123451039549233e-07,[-2.95375387 -1.45918147],True
SBP_Error_STD,DBP_ED,,-2.0337547486813707,5.819829161200209e-05,[-2.97871164 -1.08879785],True
DBP_Error_STD,SBP_ED,,-1.3132234359809072,5.991246100900586e-05,[-1.92501979 -0.70142709],True
DBP_Error_STD,DBP_ED,,-1.9434776826061486,7.961957322845101e-08,[-2.58612077 -1.30083459],True
SBP_ED,DBP_ED,,0.9484699318995107,5.257797700068672e-18,[0.7887339  1.10820596],True
SBP_ED,DBP_ED,Testing_Subject_Characteristics,[-0.41059072 -0.53756703 -0.9548215   0.94244816],[4.12821753e-02 2.21007298e-02 1.28453396e-02 3.55821654e-18],"[[-0.80442647 -0.01675497]
 [-0.99534316 -0.07979091]
 [-1.69987254 -0.20977046]
 [ 0.7875418   1.09735453]]",True
