Reg1,Reg2,Cat,Slope,p-value,CI,Significant
Power,SBP_Distribution_STD,,0.013613522081807872,0.009589641586088313,[0.00342283 0.02380422],True
Power,SBP_Distribution_STD,Calibration_Technique,[-0.10572074  0.01611745],[0.30429633 0.00574753],"[[-0.3095644   0.09812292]
 [ 0.00484333  0.02739156]]",False
Power,SBP_Distribution_STD,Algorithm,"[ 0.14639685 -0.11723766  0.04654951 -0.55036403  0.05041018 -0.04169798
  0.03446808  0.03168117  0.01496028]","[0.60360915 0.67720455 0.56103645 0.06061766 0.85793625 0.80394669
 0.77828813 0.91323223 0.01245133]","[[-0.41462046  0.70741416]
 [-0.6778338   0.44335849]
 [-0.11273806  0.20583708]
 [-1.12605956  0.0253315 ]
 [-0.51049251  0.61131287]
 [-0.37620984  0.29281389]
 [-0.20931376  0.27824992]
 [-0.54746426  0.61082659]
 [ 0.00334675  0.02657381]]",False
Power,SBP_Distribution_STD,Dataset,"[-1.06758197 -1.10763485 -0.44532114 -0.61976788 -0.4558477  -0.53947452
 -0.49144609 -0.22146191 -0.62224453  0.02270316]","[9.53442414e-06 2.45670393e-04 2.44604799e-03 3.20923843e-02
 6.37727879e-03 5.34677901e-02 7.69220106e-02 4.23232903e-01
 1.44468254e-03 8.62396194e-05]","[[-1.50845882 -0.62670513]
 [-1.67535354 -0.53991616]
 [-0.7267775  -0.16386479]
 [-1.18469477 -0.05484099]
 [-0.77831897 -0.13337643]
 [-1.08727094  0.00832191]
 [-1.03767081  0.05477863]
 [-0.77097456  0.32805074]
 [-0.99472484 -0.24976422]
 [ 0.01193085  0.03347548]]",False
Power,SBP_Distribution_STD,Testing_Subject_Characteristics,[-0.13015981  0.00952826 -0.06165206  0.00909505],[0.14705193 0.91800735 0.65698463 0.12999562],"[[-0.30729117  0.04697155]
 [-0.17460493  0.19366145]
 [-0.33764146  0.21433734]
 [-0.00274947  0.02093956]]",False
Power,SBP_Distribution_STD,Sensor_Data,"[ 0.19806266  0.26225607  0.39814887  0.3629592   0.05041663  0.22850031
  0.3930976   0.21292519  0.31007784  0.76063086  0.76063086 -0.14728464
  0.46016408  0.1797108   0.19375792  0.41778981  0.39298115  0.16643489
  0.29455311  0.46894075  0.02108469]","[0.52406118 0.51349528 0.22809783 0.21446649 0.88442923 0.43680239
 0.21019663 0.59666103 0.44463246 0.06382617 0.06382617 0.71319813
 0.2547094  0.58384488 0.63103189 0.3026875  0.2625274  0.68101756
 0.4744159  0.18192337 0.00213851]","[[-0.4224365   0.81856183]
 [-0.53875723  1.06326937]
 [-0.25755616  1.0538539 ]
 [-0.21713704  0.94305544]
 [-0.6432677   0.74410097]
 [-0.35739298  0.8143936 ]
 [-0.22923131  1.01542651]
 [-0.59066119  1.01651156]
 [-0.49881378  1.11896946]
 [-0.04547797  1.56673969]
 [-0.04547797  1.56673969]
 [-0.94820102  0.65363175]
 [-0.34243656  1.26276471]
 [-0.47546316  0.83488475]
 [-0.6122038   0.99971965]
 [-0.38846821  1.22404784]
 [-0.30394208  1.08990438]
 [-0.6426779   0.97554769]
 [-0.52687707  1.1159833 ]
 [-0.22716745  1.16504896]
 [ 0.00802302  0.03414636]]",False
Power,DBP_Distribution_STD,,0.019982863095662017,0.046059756877450724,[0.00035984 0.03960589],True
Power,DBP_Distribution_STD,Calibration_Technique,[-0.0581183  0.0225164],[0.57479415 0.04198741],"[[-0.2639701   0.1477335 ]
 [ 0.00084075  0.04419205]]",False
Power,DBP_Distribution_STD,Algorithm,"[ 0.11089677 -0.11794581  0.06834638 -0.46161309 -0.04781914  0.14277062
  0.051591    0.00471909  0.02164607]","[0.69754032 0.67962448 0.39396929 0.11273761 0.86768947 0.48876555
 0.67993237 0.98734187 0.05468838]","[[-4.57451096e-01  6.79244643e-01]
 [-6.86756050e-01  4.50864421e-01]
 [-9.09517037e-02  2.27644473e-01]
 [-1.03539121e+00  1.12165036e-01]
 [-6.19851887e-01  5.24213598e-01]
 [-2.67421978e-01  5.52963226e-01]
 [-1.97467638e-01  3.00649644e-01]
 [-5.88126091e-01  5.97564280e-01]
 [-4.49629375e-04  4.37417682e-02]]",False
Power,DBP_Distribution_STD,Dataset,"[-0.92436792 -0.86552434 -0.37044418 -0.44747079 -0.29116672 -0.33103261
 -0.32958277 -0.0716659  -0.47324973  0.02670672]","[1.48976529e-04 3.98360744e-03 1.48400826e-02 1.30922552e-01
 7.64579884e-02 2.49065363e-01 2.51427934e-01 8.02816052e-01
 1.57774587e-02 7.04538449e-03]","[[-1.37974021 -0.46899563]
 [-1.44299128 -0.28805739]
 [-0.66568226 -0.07520609]
 [-1.03215248  0.13721091]
 [-0.61430028  0.03196684]
 [-0.90026542  0.2382002 ]
 [-0.89918955  0.24002401]
 [-0.64370707  0.50037526]
 [-0.8540808  -0.09241866]
 [ 0.00757777  0.04583567]]",False
Power,DBP_Distribution_STD,Testing_Subject_Characteristics,[-0.15854556 -0.01910428 -0.06886817  0.01527894],[0.04845648 0.83146642 0.63935732 0.12971429],"[[-0.31598274 -0.00110837]
 [-0.19774621  0.15953765]
 [-0.36113775  0.22340142]
 [-0.00460791  0.03516579]]",False
Power,DBP_Distribution_STD,Sensor_Data,"[ 0.22298827  0.15664522  0.3776292   0.36789624  0.0800901   0.25940974
  0.3161844   0.25575338  0.6564765   0.6564765  -0.19008607  0.38327591
  0.21077998  0.22547486  0.29653037  0.20745272  0.21494213  0.20607417
  0.37503619  0.02585623]","[0.48792941 0.70848326 0.26868368 0.22379926 0.82362214 0.39306868
 0.32660527 0.54374314 0.11804871 0.11804871 0.64703034 0.35672268
 0.53422687 0.58994942 0.47525171 0.56561101 0.60883359 0.62918905
 0.29831159 0.04701689]","[[-4.18677875e-01  8.64654406e-01]
 [-6.81086463e-01  9.94376906e-01]
 [-3.01067996e-01  1.05632640e+00]
 [-2.32477611e-01  9.68270091e-01]
 [-6.38757898e-01  7.98938099e-01]
 [-3.46007711e-01  8.64827195e-01]
 [-3.25465520e-01  9.57834318e-01]
 [-5.85484536e-01  1.09699130e+00]
 [-1.72990815e-01  1.48594382e+00]
 [-1.72990815e-01  1.48594382e+00]
 [-1.01986207e+00  6.39689930e-01]
 [-4.45115061e-01  1.21166689e+00]
 [-4.66397790e-01  8.87957748e-01]
 [-6.10450063e-01  1.06139978e+00]
 [-5.32304643e-01  1.12536539e+00]
 [-5.13822066e-01  9.28727503e-01]
 [-6.24371644e-01  1.05425590e+00]
 [-6.46855132e-01  1.05900348e+00]
 [-3.42345918e-01  1.09241830e+00]
 [ 3.55210117e-04  5.13572547e-02]]",False
Power,SBP_Error_STD,,0.0045229610787954075,0.5293287554213857,[-0.00975161  0.01879754],False
Power,SBP_Error_STD,Calibration_Technique,[0.01952226 0.00453358],[0.8418287  0.53132454],"[[-0.17498893  0.21403344]
 [-0.0098471   0.01891425]]",False
Power,SBP_Error_STD,Algorithm,"[ 0.12173575 -0.13638066  0.09743369 -0.46784548  0.02270046 -0.08755256
  0.00552881 -0.26194653  0.00934364]","[0.6782058  0.64199361 0.22969425 0.12542424 0.9382658  0.61475959
 0.96582933 0.3940405  0.24124071]","[[-0.46229111  0.70576262]
 [-0.72019147  0.44743015]
 [-0.06317315  0.25804053]
 [-1.07002115  0.1343302 ]
 [-0.56113314  0.60653405]
 [-0.43370948  0.25860436]
 [-0.25155054  0.26260815]
 [-0.87228931  0.34839625]
 [-0.00644726  0.02513455]]",False
Power,SBP_Error_STD,Dataset,"[-0.90836902 -0.84205603 -0.35284981 -0.23419464 -0.2449193  -0.29432022
 -0.26165427 -0.03596926 -0.45268223  0.01166277]","[4.39832961e-04 8.62907906e-03 2.70826512e-02 4.40651617e-01
 1.54132475e-01 3.33814577e-01 3.90141537e-01 9.05747156e-01
 2.94978477e-02 1.30216003e-01]","[[-1.39640552 -0.42033253]
 [-1.46217633 -0.22193573]
 [-0.66432478 -0.04137485]
 [-0.83782782  0.36943855]
 [-0.58439876  0.09456016]
 [-0.89869916  0.31005873]
 [-0.86642145  0.34311291]
 [-0.64123103  0.56929251]
 [-0.85870186 -0.0466626 ]
 [-0.00354408  0.02686961]]",False
Power,SBP_Error_STD,Testing_Subject_Characteristics,[-0.20030297 -0.023533   -0.11949561 -0.00064983],[0.01512346 0.79729218 0.38701068 0.92864429],"[[-0.36060077 -0.04000517]
 [-0.20576281  0.1586968 ]
 [-0.39351966  0.15452845]
 [-0.01508615  0.01378649]]",False
Power,SBP_Error_STD,Sensor_Data,"[ 2.16426595e-01  2.82815357e-01  3.20098477e-01  3.25156632e-01
  3.35654513e-02  2.82294817e-01  3.13100763e-01  1.06280067e-01
  1.26884157e-01  6.12181965e-01  6.12233514e-01 -1.41043916e-01
  3.75330790e-01  2.42891847e-01  3.38172654e-01  2.67608016e-01
  2.82657746e-01  3.51564092e-01  3.49791574e-05  3.73277789e-01
  1.84100828e-04]","[0.53538598 0.52404756 0.37792429 0.32094393 0.93015514 0.3927361
 0.3642548  0.81086392 0.7742861  0.17237823 0.17211529 0.74988312
 0.39923142 0.51425068 0.44905309 0.54639788 0.46346498 0.42859852
 0.99993688 0.33294178 0.98401818]","[[-0.48060048  0.91345367]
 [-0.60317145  1.16880216]
 [-0.40307833  1.04327528]
 [-0.32673181  0.97704507]
 [-0.73237709  0.79950799]
 [-0.37583135  0.94042098]
 [-0.37417299  1.00037451]
 [-0.78175204  0.99431217]
 [-0.75772777  1.01149609]
 [-0.27637142  1.50073535]
 [-0.27583949  1.50030652]
 [-1.02551654  0.74342871]
 [-0.5119015   1.26256308]
 [-0.50031555  0.98609924]
 [-0.55268502  1.22903032]
 [-0.61812462  1.15334065]
 [-0.48631331  1.0516288 ]
 [-0.53384333  1.23697152]
 [-0.88440412  0.88447407]
 [-0.39407256  1.14062814]
 [-0.01819867  0.01856687]]",False
Power,DBP_Error_STD,,-0.009741716772810575,0.3055610555989292,[-0.02857462  0.00909119],False
Power,DBP_Error_STD,Calibration_Technique,[ 0.01736186 -0.00955895],[0.85719073 0.32090657],"[[-0.17451644  0.20924017]
 [-0.02864179  0.00952388]]",False
